tab_verification,ధృవీకరణ
tab_personal,వ్యక్తిగత
tab_history,చరిత్ర
tab_general,సాధారణ
tab_examinations,పరీక్షలు
tab_labs,ల్యాబ్‌లు
tab_summary,సారాంశం
tab_intake,ఇంటేక్
dark_mode,డార్క్ మోడ్
display_settings,ప్రదర్శన సెట్టింగులు
language,భాష
dashboard,డాష్‌బోర్డ్
page_title,రోగి ఇంటేక్
subtitle_ncd,అంటువ్యాధులు కాని రోగాల నిర్ధారణ మరియు చికిత్స వివరాలు
subtitle_step1,ఇంటేక్ ప్రారంభించడానికి రోగిని ఎంచుకోండి లేదా నమోదు చేయండి.
saved,సేవ్ చేయబడింది
patient,రోగి
search_existing_patient,ఉన్న రోగిని శోధించండి
search_placeholder,పేరు రోగి కోడ్ లేదా ఫోన్ ద్వారా శోధించండి...
register_new_patient,కొత్త రోగిని నమోదు చేయండి
new_patient_registration,కొత్త రోగి నమోదు
first_name,మొదటి పేరు
last_name,చివరి పేరు
sex,లింగం
sex_select,-- లింగం ఎంచుకోండి --
sex_unknown,తెలియదు
sex_male,పురుష
sex_female,స్త్రీ
sex_other,ఇతర
date_of_birth,పుట్టిన తేది
age_years,వయస్సు (సంవత్సరాలు)
age_label,వయస్సు
phone,ఫోన్
email,ఇమెయిల్
register_and_select,నమోదు చేసి ఎంచుకోండి
visit_details,సందర్శన వివరాలు
visit_type,సందర్శన రకం
select_placeholder,-- ఎంచుకోండి --
select_option,ఎంచుకోండి...
visit_camp,క్యాంప్
visit_clinic,క్లినిక్
visit_follow_up,ఫాలో-అప్
visit_emergency,అత్యవసర
other,ఇతర
chief_complaint,ప్రధాన ఫిర్యాదు
chief_complaint_placeholder,సందర్శన యొక్క ప్రాధమిక కారణం
create_case_sheet,కేస్ షీట్ సృష్టించి కొనసాగించండి
cancel,రద్దు
patient_verification,రోగి ధృవీకరణ
edit_patient_info,రోగి సమాచారాన్ని సవరించండి
identity,గుర్తింపు
contact,సంప్రదింపు
clinical,క్లినికల్
address,చిరునామా
emergency_contact,అత్యవసర సంప్రదింపు
full_name,పూర్తి పేరు
patient_code,రోగి కోడ్
blood_group,రక్త గ్రూప్
street,వీధి
city,నగరం
state,రాష్ట్రం
pin_code,పిన్ కోడ్
name,పేరు
select_blood_group,రక్త గ్రూప్ ఎంచుకోండి
street_address,వీధి చిరునామా
contact_name,సంప్రదింపు పేరు
contact_phone,సంప్రదింపు ఫోన్
save_changes,మార్పులు సేవ్ చేయండి
patient_verified_continue,రోగి ధృవీకరించబడింది — కొనసాగించండి
presenting_complaint,ప్రస్తుత ఫిర్యాదు
symptoms_complaints,లక్షణాలు / ఫిర్యాదులు
duration_of_symptoms,లక్షణాల వ్యవధి
duration_placeholder,ఉదా. 3 రోజులు లేదా 2 వారాలు
background_information,నేపథ్య సమాచారం
medicine_sources,మందుల మూలాలు
none,ఏదీ లేదు
private,ప్రైవేట్
